participant,standingLandmark,facingLandmark,targetLandmark,latency,roundNumber,TrialNumber,horizontalTargetAngle,horizontalJRDFacingAngle,horizontalJRDCorrectAngle,horizontalPointingAngle,horizontalPointingError,horizontalAbsPointingError,verticalTargetAngle,verticalPointingAngle,verticalPointingError,verticalAbsPointingError
38,coffee machine,electric fan,computer monitor,0.0141449,2,16,92.33143,287.4031,144.2562,215.0286,70.77246,70.77246,-0.646431,-0.1797333,0.4666977,0.4666977
38,coffee machine,computer monitor,fire extinguisher,0.8355484,2,17,115.8066,214.572,238.0471,342.0331,103.986,103.986,-67.27293,11.13802,78.41095,78.41095
38,electric fan,coffee machine,phone,1.475731,2,18,123.5339,328.4447,36.50018,247.6166,211.1164,148.8836,-24.73872,12.72081,37.45953,37.45953
38,desk lamp,potted plant,speaker,0.195015,2,19,37.9577,265.6931,246.551,337.8129,91.26187,91.26187,39.78211,6.905632,-32.87648,32.87648
38,coffee machine,computer monitor,potted plant,5.346382,2,20,184.6011,267.559,359.8286,342.7277,342.8991,17.10092,-39.00632,4.784103,43.79042,43.79042
38,desk lamp,football,microwave,0.5984879,2,21,341.2221,279.2967,170.5195,359.3591,188.8396,171.1604,53.36362,18.90421,-34.45941,34.45941
38,football,potted plant,computer monitor,0.01369476,2,22,4.509077,292.8181,340.892,245.1734,264.2814,95.71861,32.21003,25.72443,-6.485596,6.485596
38,speaker,phone,fire extinguisher,0.01416779,2,23,35.24176,286.9299,232.1476,6.272391,134.1248,134.1248,-23.35794,9.275032,32.63297,32.63297
38,computer monitor,electric fan,football,0.2365494,2,24,184.5091,290.9968,229.5868,352.6464,123.0596,123.0596,-32.21004,1.975113,34.18515,34.18515
38,electric fan,computer monitor,fire extinguisher,0.4731827,2,25,73.63309,3.026773,10.74082,333.5401,322.7993,37.20074,-40.54002,6.507057,47.04708,47.04708
38,computer monitor,electric fan,camera,1.364586,2,26,257.2681,5.622524,16.97161,291.0023,274.0307,85.96927,-52.422,3.342812,55.76481,55.76481
38,potted plant,desk lamp,fire extinguisher,0.3477478,2,27,24.35399,304.6211,91.87531,5.857324,273.982,86.01798,0.1749268,7.444855,7.269928,7.269928
38,desk lamp,football,desk globe,0.4737091,2,28,13.65201,329.5079,253.1606,281.5622,28.40164,28.40164,53.42825,8.20314,-45.22511,45.22511
38,speaker,phone,computer monitor,0.7238922,2,29,30.58375,320.8792,261.4388,307.1145,45.67569,45.67569,21.17006,4.506119,-16.66394,16.66394
32,laptop,teapot,books,0.125433,1,1,118.6345,88.10399,90.75575,81.24618,350.4904,9.509575,-53.77258,8.551537,62.32412,62.32412
32,wine bottle,framed photo,teapot,0.01418877,1,2,54.33349,88.03709,73.48962,54.97139,341.4818,18.51823,25.12598,9.845131,-15.28085,15.28085
32,framed photo,wine bottle,laptop,0.01415253,1,3,302.6386,89.14321,142.9009,44.58361,261.6827,98.31726,22.29409,10.69234,-11.60175,11.60175
54,wine bottle,framed photo,teapot,4.482529,1,1,54.33349,163.7424,149.1949,116.3348,327.1398,32.86018,25.12598,6.122711,-19.00327,19.00327
54,laptop,teapot,books,0.7944756,1,2,118.6345,145.7889,148.4407,174.6453,26.20457,26.20457,-53.77258,14.20076,67.97334,67.97334
452,laptop,teapot,books,1.865466,1,1,118.6345,162.4359,165.0876,131.7824,326.6947,33.30528,-53.77258,2.994827,56.76741,56.76741
452,wine bottle,framed photo,teapot,0.2787342,1,2,54.33349,162.2728,147.7253,135.0782,347.3528,12.64716,25.12598,5.083794,-20.04218,20.04218
452,framed photo,wine bottle,laptop,0.5741158,1,3,302.6386,161.8777,215.6354,226.6602,11.02484,11.02484,22.29409,-3.17588,-25.46997,25.46997
49,framed photo,wine bottle,laptop,0.01425648,1,1,302.6386,170.6597,224.4173,147.3776,282.9603,77.03973,22.29409,4.804665,-17.48943,17.48943
49,laptop,teapot,books,1.101591,1,2,118.6345,170.5177,173.1695,141.2369,328.0674,31.93257,-53.77258,5.812508,59.58509,59.58509
49,wine bottle,framed photo,teapot,0.9341745,1,3,54.33349,170.4983,155.9509,145.3495,349.3986,10.60141,25.12598,5.609413,-19.51656,19.51656
32,wine bottle,framed photo,teapot,9.773738,1,1,54.33349,20.17435,5.626892,25.84838,20.22149,20.22149,25.12598,-23.64651,-48.77248,48.77248
32,laptop,teapot,books,0.01384926,1,2,118.6345,23.53673,26.1885,47.98237,21.79387,21.79387,-53.77258,3.374405,57.14699,57.14699
32,framed photo,wine bottle,laptop,0.2930241,1,3,302.6386,25.30968,79.06734,39.85001,320.7827,39.21733,22.29409,-3.76368,-26.05777,26.05777
32,camera,fire extinguisher,microwave,39.85371,2,1,200.3869,57.34395,167.8626,55.04107,247.1785,112.8215,23.84135,-8.291756,-32.1331,32.1331
32,potted plant,desk lamp,fire extinguisher,7.100845,2,2,24.35399,49.82174,197.076,350.538,153.462,153.462,0.1749268,-11.92387,-12.0988,12.0988
32,desk lamp,football,fire extinguisher,33.19075,2,3,36.17024,334.0503,280.2213,353.5491,73.32785,73.32785,0.02614594,-25.24381,-25.26996,25.26996
32,speaker,phone,desk lamp,7.908295,2,4,217.9577,336.9891,104.9227,0,255.0773,104.9227,-39.78212,-24.14114,15.64098,15.64098
32,coffee machine,computer monitor,camera,337.4753,2,5,244.2221,15.77823,167.6689,344.5834,176.9145,176.9145,-67.08681,12.38821,79.47502,79.47502
32,desk lamp,football,desk globe,0.7799683,2,6,13.65201,296.9608,220.6135,296.9645,76.35101,76.35101,53.42825,-22.16046,-75.58871,75.58871
32,electric fan,coffee machine,phone,0.7518921,2,7,123.5339,252.4884,320.5439,19.92967,59.38577,59.38577,-24.73872,-12.78802,11.95071,11.95071
32,desk lamp,potted plant,camera,1.253784,2,8,11.00486,57.65908,11.56418,42.17656,30.61238,30.61238,-0.0266037,-19.56906,-19.54246,19.54246
32,coffee machine,computer monitor,electric fan,0.01428223,2,9,235.4784,80.23496,223.3819,47.25101,183.8691,176.1309,-0.0629425,-22.67386,-22.61092,22.61092
32,coffee machine,electric fan,speaker,0.7799683,2,10,194.3596,113.0246,71.90576,10.88758,298.9818,61.01818,-23.44032,-18.90152,4.538803,4.538803
32,desk lamp,football,potted plant,0.473877,2,11,57.09976,349.5007,316.6012,359.174,42.57275,42.57275,-0.2360764,-19.05558,-18.8195,18.8195
32,desk lamp,football,microwave,1.001099,2,12,341.2221,68.40458,319.6274,327.218,7.590637,7.590637,53.36362,-13.47671,-66.84033,66.84033
32,desk lamp,potted plant,speaker,0.01385498,2,13,37.9577,321.5052,302.3632,275.5357,333.1725,26.82748,39.78211,-18.78579,-58.5679,58.5679
32,potted plant,desk lamp,desk globe,0.1390991,2,14,313.4181,250.0238,326.3421,284.2174,317.8753,42.12473,62.36032,-17.69566,-80.05598,80.05598
32,computer monitor,electric fan,football,0.01391602,2,15,184.5091,325.0946,263.6846,326.0504,62.36578,62.36578,-32.21004,-20.69998,11.51006,11.51006
32,camera,fire extinguisher,potted plant,0.01208496,2,16,164.9893,41.69001,116.8111,338.659,221.8479,138.1521,-0.1085663,-15.19934,-15.09077,15.09077
32,speaker,phone,camera,2.255859,2,17,354.3015,309.6191,213.8964,39.27271,185.3763,174.6237,-27.86528,6.656532,34.52181,34.52181
